"","female","married","edu_high","inc_high","professional","attend_service","perceived_diversity","worried_corona","foreign_born","econ_bad","imm_contact","rally","age"
"188",1,1,1,0,0,3,36,4,0,3,0.2,18.1818181818182,55
"189",1,1,1,0,0,2,24,3,0,3,0.4,27.2727272727273,55
"190",1,0,0,0,0,1,40,3,0,3,0.4,27.2727272727273,45
"191",1,0,1,0,0,2,30,3,0,2,0.4,36.3636363636364,79
"192",1,1,0,0,0,2,59,3,0,NA,0.8,36.3636363636364,43
"193",0,1,0,1,0,2,5,3,0,2,0.6,9.09090909090909,71
"194",1,0,0,0,0,2,17,4,0,3,0.2,0,69
"195",1,1,0,0,0,2,37,3,0,NA,0.2,63.6363636363636,69
"196",0,1,1,1,1,2,34,4,0,3,0.4,54.5454545454545,49
"197",0,0,0,0,0,3,45,3,0,2,0,72.7272727272727,70
"198",1,0,1,0,0,1,49,3,0,3,0.4,0,43
"199",0,1,0,0,0,2,44,3,0,3,0,63.6363636363636,75
"200",0,0,1,0,0,2,15,1,0,1,0,0,75
"201",1,0,1,0,0,1,10,2,0,2,0.8,45.4545454545455,28
"202",0,1,0,0,0,2,5,3,0,3,0.4,0,47
"203",1,1,1,1,0,3,81,3,0,3,1,45.4545454545455,27
"204",1,1,0,0,0,3,86,4,0,3,0.8,0,29
"205",0,1,1,0,0,2,NA,4,0,3,0.8,45.4545454545455,76
"206",0,0,1,0,0,1,0,4,0,2,0.2,NA,33
"207",0,1,1,1,0,1,12,3,0,2,0.6,9.09090909090909,65
"208",1,0,0,0,0,1,88,4,0,2,0,9.09090909090909,67
"209",1,0,1,0,0,1,29,2,0,2,0.6,0,46
"210",1,0,0,0,0,1,35,2,0,2,0.2,72.7272727272727,62
"211",1,0,0,0,0,1,36,4,0,3,0.2,45.4545454545455,65
"212",0,0,0,0,0,1,35,4,0,1,0.6,9.09090909090909,71
"213",0,0,1,0,0,NA,12,2,0,3,0.6,NA,79
"214",0,0,1,0,1,1,7,2,0,3,0.6,0,28
"215",1,1,1,1,0,1,36,3,0,2,0.6,36.3636363636364,39
"216",1,1,0,0,0,1,5,4,0,2,0.4,0,64
"217",0,1,1,1,0,2,25,3,0,2,0.6,0,71
"218",1,1,1,0,0,2,25,3,0,3,1,0,46
"219",0,1,1,1,0,2,46,3,0,3,0,9.09090909090909,49
"220",0,1,1,0,0,3,45,4,0,3,0.4,63.6363636363636,47
"221",0,0,0,0,0,3,NA,4,0,3,0.2,45.4545454545455,47
"222",0,1,0,1,0,1,3,3,0,2,0.4,18.1818181818182,62
"223",1,1,0,1,0,1,47,1,0,3,1,9.09090909090909,50
"224",0,1,0,0,0,1,6,4,0,2,0.2,9.09090909090909,77
"225",0,0,1,0,0,2,32,4,0,2,0.8,81.8181818181818,64
"226",1,1,1,1,0,3,10,4,0,2,0.4,0,71
"227",0,0,1,0,0,5,7,3,0,3,0.6,0,65
"228",1,1,0,0,0,2,21,4,0,3,0.4,0,65
"229",0,0,0,1,0,2,15,3,0,2,0.2,18.1818181818182,20
"230",1,1,1,1,0,4,30,2,0,1,0,9.09090909090909,75
"231",0,0,0,0,0,2,27,2,0,2,0.2,81.8181818181818,67
"232",1,0,0,0,0,1,33,3,0,2,0.2,0,75
"233",0,1,1,1,0,2,10,4,0,3,0.4,0,74
"234",0,1,1,0,0,2,31,4,0,3,0,0,40
"235",1,1,1,1,1,2,38,2,0,2,0.6,0,43
"236",1,0,0,0,0,1,NA,2,0,2,0.4,90.9090909090909,64
"237",1,1,1,0,0,2,28,3,0,3,0.6,9.09090909090909,47
