"","female","married","worried_corona","inc_low","edu_high","foreign_born","inactive_worker","rent","age","far_right"
"343",1,0,3,0,1,0,0,1,32,0
"344",1,0,2,0,1,0,0,0,60,9
"345",0,1,3,0,1,0,1,0,74,9
"346",1,0,3,0,0,0,1,0,68,9
"347",0,0,3,0,1,0,0,0,31,9
"348",0,1,2,0,1,0,0,0,65,9
"349",0,1,3,0,1,0,0,0,35,82
"350",0,0,4,0,1,1,1,0,74,36
"351",1,1,4,0,1,0,1,0,65,18
"352",1,1,3,0,0,0,0,1,49,18
"353",1,0,3,0,0,0,1,1,60,NA
"354",1,0,1,0,0,0,0,1,22,9
"355",1,1,3,0,1,0,1,1,55,NA
"356",1,1,3,0,1,0,1,0,69,45
"357",1,0,3,1,1,0,1,1,53,0
"358",0,0,1,1,1,0,1,1,27,27
"359",0,1,4,0,0,0,0,0,59,0
"360",0,1,2,0,0,0,1,0,66,0
"361",1,0,2,1,1,0,1,1,73,82
"362",1,0,4,0,1,0,0,0,41,0
"363",0,0,2,0,1,0,0,0,40,73
"364",1,0,3,1,0,0,1,1,69,0
"365",0,1,4,0,0,0,0,0,53,9
"366",1,1,3,1,0,0,1,1,61,64
"367",0,0,3,1,0,0,0,1,64,36
"368",1,0,4,1,0,0,1,1,50,45
"369",1,0,2,0,1,0,0,0,42,45
"370",1,0,2,0,1,0,1,0,72,73
"371",1,1,4,0,0,0,0,0,60,45
"372",1,0,2,0,1,0,0,0,56,0
"373",1,1,4,0,1,0,1,0,76,9
"374",1,1,3,0,0,0,1,1,66,18
"375",1,0,2,1,1,0,1,1,23,0
"376",0,1,2,0,1,0,0,0,52,18
"377",0,1,3,0,1,0,0,1,35,0
"378",1,0,2,1,1,1,1,1,58,9
"379",1,1,4,0,0,0,1,1,49,73
"380",0,0,3,0,1,0,1,1,75,64
"381",0,1,3,0,1,0,1,1,76,0
"382",0,1,3,1,0,0,1,0,74,0
"383",1,1,3,0,1,0,1,1,67,45
"384",0,1,3,0,1,0,1,0,71,91
"385",1,1,4,0,0,0,1,0,75,82
"386",0,0,2,1,1,0,1,0,62,18
"387",1,0,2,0,0,0,0,0,49,36
"388",1,0,3,0,1,0,1,0,68,9
"389",1,1,4,0,1,0,0,0,64,64
"390",1,1,3,0,1,0,1,0,63,9
"391",0,1,3,0,1,0,0,1,30,64
"392",1,1,4,0,0,0,0,1,47,45
"393",1,1,4,0,1,0,0,1,42,45
"394",1,0,3,0,1,0,0,0,43,0
"395",0,1,3,0,1,0,1,0,73,45
"396",1,0,3,1,0,0,0,1,32,NA
"397",1,0,3,0,0,0,0,1,33,0
"398",1,0,3,1,0,0,0,1,47,45
"399",0,0,1,0,1,0,0,0,47,0
"400",0,1,3,0,0,0,0,0,56,45
"401",0,1,3,1,1,0,0,0,65,64
"402",0,0,3,0,1,0,0,0,32,55
"403",0,0,2,0,1,0,0,1,48,64
"404",1,1,4,0,1,1,0,1,37,45
"405",1,1,2,0,1,0,1,0,56,27
"406",1,1,3,0,1,0,0,0,35,73
"407",0,0,3,0,1,1,1,0,74,18
"408",1,0,3,1,1,0,1,1,46,18
"409",1,0,2,1,1,0,0,0,40,0
"410",0,1,3,0,1,0,0,0,44,73
"411",0,0,3,1,1,0,1,0,39,0
"412",1,0,3,0,1,0,1,0,70,0
"413",1,1,2,0,1,0,0,0,45,9
"414",1,1,3,0,1,0,1,0,79,27
"415",1,1,3,0,0,0,0,1,40,45
"416",1,1,3,0,0,0,1,0,64,45
"417",1,0,3,0,1,0,0,1,59,0
"418",0,1,3,1,0,0,1,0,62,0
"419",0,0,3,1,1,0,1,1,31,0
"420",0,1,3,0,1,1,0,0,56,18
"421",0,1,3,0,1,0,1,1,76,27
"422",0,1,3,0,0,0,0,0,49,36
"423",1,0,3,1,0,0,1,1,79,45
"424",0,1,3,0,1,0,1,0,74,0
"425",1,0,2,0,0,0,1,0,74,45
"426",1,0,2,1,1,0,1,1,54,91
"427",0,1,2,0,0,0,0,0,47,64
"428",1,1,2,0,1,0,1,0,77,0
"429",0,0,2,1,0,0,0,1,33,27
"430",0,1,3,0,1,0,0,0,44,0
"431",0,1,3,0,0,0,1,0,75,0
"432",1,1,3,0,1,0,0,0,32,45
"433",0,0,3,1,1,0,0,0,26,0
"434",0,0,2,1,1,0,0,1,23,0
"435",1,0,3,1,1,0,1,0,66,0
"436",1,1,2,0,1,1,0,0,52,55
"437",1,0,4,1,1,0,0,0,47,0
"438",0,1,3,0,1,0,0,0,51,0
"439",1,1,4,0,0,0,1,0,61,64
"440",1,1,2,1,0,0,0,1,58,45
"441",1,1,3,0,1,0,0,1,56,27
"442",1,0,2,1,0,0,0,1,53,0
"443",0,1,1,0,1,0,0,0,72,73
"444",0,0,3,1,1,0,0,0,45,18
"445",1,1,3,0,1,0,1,0,72,0
"446",1,1,3,0,1,0,0,0,50,82
"447",1,0,3,0,1,0,0,0,27,9
"448",1,0,3,0,1,0,1,1,72,0
"449",1,0,3,1,0,0,0,1,49,0
"450",1,0,3,1,0,0,0,1,36,36
"451",1,0,3,0,0,0,0,1,51,NA
"452",0,0,3,0,0,0,1,0,61,9
"453",0,1,2,0,0,0,0,0,59,0
"454",0,0,3,1,0,1,1,0,70,91
"455",1,1,3,0,0,0,0,0,55,NA
"456",1,1,2,0,1,0,1,0,63,0
"457",1,1,2,0,1,0,1,0,51,0
"458",0,1,4,0,0,0,0,0,48,45
"459",0,1,3,0,1,0,0,0,32,9
"460",1,1,3,0,1,0,0,0,60,18
"461",0,1,4,0,1,0,0,0,27,NA
"462",0,0,4,1,0,1,1,1,68,45
"463",1,1,3,0,0,0,0,0,49,27
"464",1,0,3,1,1,0,1,0,73,0
"465",1,0,3,1,0,0,0,0,60,82
"466",1,0,3,1,1,0,0,1,36,0
"467",1,0,3,1,1,0,1,0,42,27
"468",1,1,3,0,1,0,0,0,53,45
"469",0,0,3,1,1,0,0,0,36,45
"470",0,0,2,0,1,0,1,0,63,27
"471",0,0,3,0,1,0,0,1,32,73
"472",0,0,4,0,1,0,1,0,82,0
"473",1,0,4,1,0,0,0,1,28,0
"474",1,0,2,0,0,0,0,0,33,64
"475",0,0,1,1,0,0,0,1,45,45
"476",1,0,3,1,0,0,1,1,56,9
"477",0,1,2,0,1,0,0,0,30,0
"478",1,0,2,1,0,0,1,1,56,73
"479",1,1,4,1,0,1,1,1,58,27
"480",1,0,2,1,1,0,0,0,39,9
"481",0,1,2,0,0,0,0,0,46,0
"482",1,0,3,0,1,0,0,0,53,45
